name,variant,quantity_unit
Apple,Fuji,120
Apple,Fuji,120
Apple,Granny Smith,150
Apple,Gala,130
Apple,Red Delicious,150
Banana,Cavendish,160
Banana,Cavendish,140
Banana,Lakatan,140
Banana,Saba,140
Orange,Navel,100
Orange,Navel,150
Orange,Navel,200
Orange,Navel,120
Grapes,Red Seedless,140
Grapes,Green Seedless,140
Grapes,Muscat,160
Grapes,Muscat Australian,160
Mango,Carabao,120
Mango,Carabao,120
Mango,Tommy Atkins,160
Mango,Keitt,160
Pineapple,Queen,140
Pineapple,MD2,140
Watermelon,Seedless,120
Watermelon,Seeded,120
Strawberry,Fresh,120
Blueberry,Fresh,120
Lemon,,120
Lemon,,120
Kiwi,Green,140
Kiwi,Gold,140
Pear,Bartlett,160
Pear,Packham,160
Persimmon,,140
Pomelo,Red,160
Lychee,,140
Rambutan,,140
Dragon Fruit,Red,160
Dragon Fruit,White,160
Papaya,Formosa,160
Papaya,Hawaiian,140
Avocado,Hass,160
Avocado,Bacon,140
Cherry,Red,120
Cherry,Black,120
Durian,Monthong,120
Durian,Puyat,120
Guava,Thai,160
Guava,Thai,140
Apple,Fuji,120
Apple,Granny Smith,130
Apple,Gala,140
Banana,Cavendish,120
Banana,Lakatan,160
Orange,,120
Orange,Navel,120
Grapes,Red Seedless,160
Grapes,Green Seedless,160
Mango,Carabao,120
Mango,Tommy Atkins,140
Pineapple,Queen,160
Watermelon,Seedless,120
Watermelon,Seeded,120
Strawberry,Fresh,160
Kiwi,Green,160
Kiwi,Gold,120
Pear,Bartlett,140
Pear,Packham,120
Durian,Puyat,120
Guava,Thai,120
Guava,Thai,140
Langka,Ka,kilo
Avocado,Bacon,kg
Avocado,Hass,100
Apple,Pink Lady,130
Apple,Honeycrisp,140
Banana,Senorita,120
Banana,Latundan,140
Orange,Valencia,120
Orange,Mandarin,120
Grapes,Crimson Seedless,140
Grapes,Autumn Royal,140
Mango,Haden,140
Mango,Ataulfo,120
Pineapple,Cayenne,140
Pineapple,Red Spanish,140
Watermelon,Yellow,120
Watermelon,Mini Seedless,120
Strawberry,Imported,120
Blueberry,Wild,120
Lemon,Meyer,120
Kiwi,Hayward,140
Pear,Bosc,160
Pear,D'Anjou,160
Persimmon,Fuyu,140
Pomelo,White,160
Lychee,Fresh,140
Rambutan,Fresh,140
Dragon Fruit,Yellow,160
Papaya,Solo,140
Avocado,Fuerte,kg
Avocado,Reed,kg
Cherry,Rainier,120
Durian,D24,kg
Guava,Philippine,140
Guava,Indian,140
Langka,Native,kg
Mangosteen,Fresh,140
Longan,Fresh,140
Nectarine,,120
Peach,,120
Plum,,120
Apricot,,120
Pomegranate,,120
Blackberry,Fresh,120
Raspberry,Fresh,120
Cranberry,Fresh,120
Gooseberry,Fresh,120
Starfruit,Carambola,140
Passion Fruit,,120
Cantaloupe,,140
Honeydew,,140
Guyabano,,140
Atis,,140
Santol,,140
Makopa,,140
Lanzones,,140
Caimito,,140
Tamarind,,140
Banana,Plantain,140
Pineapple,Victoria,140
Watermelon,Sugar Baby,120
Pear,Nashi,160
Kiwi,Red,140
Mango,Indian,140
Mango,Thai,140
Papaya,Red Lady,140
Guava,Apple,140
Mangosteen,Fresh,kg
Longan,Fresh,kg
Guyabano,,kg
Atis,,kg
Santol,,kg
Makopa,,kg
Lanzones,,kg
Caimito,,kg
Passion Fruit,,kg
Starfruit,Carambola,kg
Pomegranate,,kg
Nectarine,,kg
Peach,,kg
Apple,Fuji,kg
Apple,Gala,100
Grapes,Seedless,kg
Grapes,Thompson Seedless,kg
Orange,Valencia,72
Orange,Kiat-Kiat,10
Watermelon,Sugar Baby,kg
Watermelon,Sweet Gold,kg
Strawberry,Sweet Charlie,kg
Orange,Valencia,50
Orange,Valencia,40
Pear,Fresh,42
Pear,Fresh,50
